,day,added,path,size
44,2007-01-28,2023-03-22 19:50:35+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007012800_2007012900.csv.gz,0.0810546875
45,2007-01-30,2023-03-22 19:50:36+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007013000_2007013100.csv.gz,0.08203125
46,2007-02-01,2023-03-22 19:50:37+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007020100_2007020200.csv.gz,0.0810546875
47,2007-02-03,2023-03-22 19:50:39+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007020300_2007020400.csv.gz,0.0810546875
48,2007-02-05,2023-03-22 19:50:40+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007020500_2007020600.csv.gz,0.1220703125
49,2007-02-07,2023-03-22 19:50:42+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007020700_2007020800.csv.gz,0.1201171875
50,2007-02-09,2023-03-22 19:50:43+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007020900_2007021000.csv.gz,0.1220703125
51,2007-02-11,2023-03-22 19:50:45+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007021100_2007021200.csv.gz,0.0791015625
52,2007-02-13,2023-03-22 19:50:46+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007021300_2007021400.csv.gz,0.0791015625
53,2007-02-17,2023-03-22 19:50:48+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007021700_2007021800.csv.gz,0.1259765625
54,2007-02-19,2023-03-22 19:50:49+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007021900_2007022000.csv.gz,0.125
55,2007-02-21,2023-03-22 19:50:51+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007022100_2007022200.csv.gz,0.125
56,2007-02-23,2023-03-22 19:50:52+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007022300_2007022400.csv.gz,0.1240234375
57,2007-02-25,2023-03-22 19:50:54+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007022500_2007022600.csv.gz,0.125
58,2007-02-27,2023-03-22 19:50:55+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007022700_2007022800.csv.gz,0.1259765625
59,2007-03-01,2023-03-22 19:50:57+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007030100_2007030200.csv.gz,0.1259765625
60,2007-03-03,2023-03-22 19:50:58+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007030300_2007030400.csv.gz,0.1259765625
61,2007-03-05,2023-03-22 19:51:00+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007030500_2007030600.csv.gz,0.126953125
62,2007-03-07,2023-03-22 19:51:01+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007030700_2007030800.csv.gz,0.1318359375
63,2007-03-09,2023-03-22 19:51:02+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007030900_2007031000.csv.gz,0.1318359375
64,2007-03-11,2023-03-22 19:51:04+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007031100_2007031200.csv.gz,0.123046875
65,2007-03-13,2023-03-22 19:51:05+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007031300_2007031400.csv.gz,0.126953125
66,2007-03-15,2023-03-22 19:51:07+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007031500_2007031600.csv.gz,0.1279296875
67,2007-03-19,2023-03-22 19:51:09+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007031900_2007032000.csv.gz,0.1279296875
68,2007-03-21,2023-03-22 19:51:10+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007032100_2007032200.csv.gz,0.126953125
69,2007-03-23,2023-03-22 19:51:12+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007032300_2007032400.csv.gz,0.1279296875
70,2007-03-25,2023-03-22 19:51:13+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007032500_2007032600.csv.gz,0.1279296875
71,2007-03-27,2023-03-22 19:51:15+00:00,s3://openaq-db-backups/measurements/measurements_v1_2007032700_2007032800.csv.gz,0.1259765625
